,Title,Company,Pack,Link,Discounted Price,Orignal Price
34,Alzilo,Searle,Pack Size: 1x10's,https://dawaai.pk/medicine/alzilo-05mg-38159.html,182,202
35,Amgydex Eye Drop 5ml,Kobec,Pack Size: 1,https://dawaai.pk/medicine/amgydex-eye-drop-38204.html,194,215
36,Actiflor,Pharm Evo,Pack Size: 1x10's,https://dawaai.pk/medicine/actiflor-38224.html,50,56
37,Ampiclox Drop 90mg,GlaxoSmithKline,Pack Size: 20ml,https://dawaai.pk/medicine/ampiclox-drop-90mg-38281.html,113,126
38,Awardin Plus,Werick,Pack Size: 2 x 10's,https://dawaai.pk/medicine/awardin-plus-50mg-1-38310.html,237,263
39,Amgy,Kobec,Pack Size: 5ml,https://dawaai.pk/medicine/kobec-38349.html,135,150
40,Amlocard 10,Pharmatec,Pack Size: 2 x 10's,https://dawaai.pk/medicine/amlocard-10-38350.html,209,233
41,A2A,Wilson's,Pack Size: 2 x 10's,https://dawaai.pk/medicine/a2a-3-38381.html,137,152
42,Amlocard 5,Pharmatec,Pack Size: 2 x 10's,https://dawaai.pk/medicine/amlocard-5-38409.html,107,119
43,Amclav,Getz Pharma,Pack Size: 20 ml,https://dawaai.pk/medicine/amclav-14-38579.html,161,178
44,Acetra,Amarant,Pack Size: 1 x 10's,https://dawaai.pk/medicine/acetra-1-39031.html,155,172
45,Angiwell,Aspin Pharma,Pack Size: 2 x 7's,https://dawaai.pk/medicine/angiwell-40126.html,183,203
46,Acicon,Barrett,Pack Size: 1x10,https://dawaai.pk/medicine/acicon-1-41126.html,232,258
47,AM-Telsan,Hilton,Pack Size: 2x7's,https://dawaai.pk/medicine/am-telsan-41171.html,221,246
48,Agolix,Hirani's Pharma,Pack Size: 60 ml,https://dawaai.pk/medicine/agolix-42736.html,94,105
49,Agolix,Hirani's Pharma,Pack Size: 1 x 10's,https://dawaai.pk/medicine/agolix-1-42737.html,200,223
50,Aireez,Pharm Evo,Pack Size: 14's,https://dawaai.pk/medicine/aireez-2-42758.html,265,294
51,Amisped,Sanofi,Pack Size: 14's,https://dawaai.pk/medicine/amisped-2-42774.html,202,224
52,Asthiven,Scilife,Pack Size: 14 sachet,https://dawaai.pk/medicine/asthiven-42785.html,225,250
53,Asthiven,Scilife,Pack Size: 14's,https://dawaai.pk/medicine/asthiven-2-42787.html,176,195
54,Avsar Plus,Pharm Evo,Pack Size: 4 x 7's,https://dawaai.pk/medicine/avsar-plus-43512.html,96,106
55,Am-Telsan,Hilton,Pack Size: 2x7's,https://dawaai.pk/medicine/am-telsan-10mg40mg-43541.html,238,264
56,Advacort 0.1% 10g,Atco,Pack Size: 10gm,https://dawaai.pk/medicine/advacort-01-10g-43542.html,216,240
57,Avsar Plus,Pharm Evo,Pack Size: 4x7's,https://dawaai.pk/medicine/avsar-plus-16010125mg-43564.html,107,119
58,Amoxil,GlaxoSmithKline,Pack Size: 5x20's,https://dawaai.pk/medicine/amoxil-500mg-100s-43573.html,273,303
59,Atorva,Pharmatec,Pack Size: 10,https://dawaai.pk/medicine/atorva-43801.html,574,637
60,Aurora,Ferozsons,Pack Size: 1x10's,https://dawaai.pk/medicine/aurora-44165.html,488,542
61,Arynoin-Plus Gel 10g,Pharma Health,Pack Size: 10 gm,https://dawaai.pk/medicine/arynoin-plus-gel-10g-44188.html,425,472
62,Amico-M Sugar Free,Amarant,Pack Size: 120ml,https://dawaai.pk/medicine/amico-m-sugar-free-120ml-44209.html,383,425
63,Atmos,Scotman,Pack Size: 1x10's,https://dawaai.pk/medicine/atmos-20mg-1-44246.html,233,259
64,Amity,Scotman,Pack Size: 60ml,https://dawaai.pk/medicine/amity-suspension-125mg-44262.html,158,175
65,Amity,Scotman,Pack Size: 60ml,https://dawaai.pk/medicine/amity-suspension-250mg-44264.html,180,200
66,Amity,Scotman,Pack Size: 1x10's,https://dawaai.pk/medicine/amity-tablets-250mg-44265.html,190,211
67,Amity,Scotman,Pack Size: 1x10's,https://dawaai.pk/medicine/amity-tablets-500mg-44267.html,286,318
68,Advance,Scotman,Pack Size: 1x10's,https://dawaai.pk/medicine/advance-44277.html,144,160
69,Amak,Hudson Pharma's,Pack Size: 5's,https://dawaai.pk/medicine/amak-44345.html,125,139
70,Amak,Hudson Pharma's,Pack Size: 5's,https://dawaai.pk/medicine/amak-1-44346.html,250,278
71,Amak,Hudson Pharma's,Pack Size: 1's,https://dawaai.pk/medicine/amak-3-44348.html,165,184
72,Avsar Plus,Pharm Evo,Pack Size: 4x7's,https://dawaai.pk/medicine/avsar-plus-1-44902.html,449,499
73,Atem,Chiesi,Pack Size: 2x5's 2ml,https://dawaai.pk/medicine/atem-2-44979.html,540,600
74,Adablizer,Adamjee Pharmaceuticals,Pack Size: 3x10's,https://dawaai.pk/medicine/adablizer-1-45010.html,160,177
75,Adapco,Atco,Pack Size: 15gm,https://dawaai.pk/medicine/adapco-2-45041.html,268,298
76,Avodart,GlaxoSmithKline,Pack Size: 3x10's,https://dawaai.pk/medicine/avodart-45093.html,"2,424","2,693"
77,All Purpose Nipple Ointment (APNO),Nigehban,Pack Size: 30gm,https://dawaai.pk/medicine/all-purpose-nipple-ointment-apno-45244.html,450,500
78,Amodip,Mass-PH Health,Pack Size: 3x10's,https://dawaai.pk/medicine/amodip-6-45743.html,621,690
79,Amoxi-Clav,Sandoz,Pack Size: 2x3's,https://dawaai.pk/medicine/amoxi-clav-17-45908.html,66,73
80,Azocam,Le Mendoza,Pack Size: 2x5's,https://dawaai.pk/medicine/azocam-3-45972.html,270,300
81,Aireez,Pharm Evo,Pack Size: 3x10's,https://dawaai.pk/medicine/aireez-5-45973.html,431,479
82,Am-Descol,Nabi Qasim,Pack Size: 2x7's,https://dawaai.pk/medicine/am-descol-46301.html,163,181
83,Amodip-V,Mass-PH Health,Pack Size: 2x7's,https://dawaai.pk/medicine/amodip-v-46379.html,293,325
84,Aireez,Pharm Evo,Pack Size: 3x10's,https://dawaai.pk/medicine/aireez-6-46394.html,90,100
85,Aproxen,Schazoo Pharmaceuticals,Pack Size: 3x10s,https://dawaai.pk/medicine/aproxen-2-46414.html,71,79
86,Asthiven,Scilife,Pack Size: 1x14's,https://dawaai.pk/medicine/asthiven-3-46420.html,189,210
87,Alfa-D,Platinum,Pack Size: 1x10's,https://dawaai.pk/medicine/alfa-d-46431.html,360,400
88,Abri Flex Adult Pull-up - Extra Large,Abena,Pack Size: 14 Pcs.,https://dawaai.pk/medicine/abri-flex-adult-pull-up-extra-large-46469.html,"7,110","7,900"
89,Amodip.,Mass-PH Health,Pack Size: 3x10's,https://dawaai.pk/medicine/amodip-7-46504.html,107,119
90,Agnar,Getz Pharma,Pack Size: 3 x 10's,https://dawaai.pk/medicine/agnar-1-46510.html,810,900
91,Aquazole,Martin Dow,Pack Size: 20 gm,https://dawaai.pk/medicine/-46563.html,198,220
92,Altin-Met,ICI Pakistan Limited,Pack Size: 2 x 7's,https://dawaai.pk/medicine/-46564.html,232,258
93,Am-Telsan,Hilton,Pack Size: 2 x 7's,https://dawaai.pk/medicine/-46703.html,281,312
94,Amoxi-Clav,Sandoz,Pack Size: 3 x 2's,https://dawaai.pk/medicine/-46710.html,83,92
95,Aripan,Cell Laboratories,Pack Size: 3 x 10's,https://dawaai.pk/medicine/-46877.html,171,190
96,Aceclocare,Titlis Pharma,Pack Size: 1 x 10's,https://dawaai.pk/medicine/-47027.html,107,119
97,Acuron,Brookes,Pack Size: 5 Amp x 5 ml,https://dawaai.pk/medicine/-47280.html,318,353
98,Apitent,Sois Life Sciences,Pack Size: 120 ml,https://dawaai.pk/medicine/apitent-syrup-120-ml-bottle-47452.html,162,180
99,Avaam,ICI Pakistan Limited,Pack Size: 2 x 7's,https://dawaai.pk/medicine/avaam-5-160-mg-tablets-2-x-7s-pack-47453.html,304,338
100,Alkeris-SR,Sami,Pack Size: 3 x 10's,https://dawaai.pk/medicine/alkeris-sr-200-mg-tablets-3-x-10s-pack-47657.html,126,140
101,A-Glip,Atco,Pack Size: 1 x 14's,https://dawaai.pk/medicine/a-glip-50-mg-tablets-1-x-14s-pack-47773.html,356,396
102,Acukat,Genix,Pack Size: 5 ml,https://dawaai.pk/medicine/acukat-drops-5-ml-pack-47779.html,383,425
103,Azineu,Neutro,Pack Size: 1 x 6's,https://dawaai.pk/medicine/azineu-250-mg-tablets-1-x-6s-pack-47837.html,142,158
104,Am-Telsan,Hilton,Pack Size: 2 x 7's,https://dawaai.pk/medicine/am-telsan-10-mg-80-mg-tablets-2-x-7s-pack-47841.html,578,642
105,Artem Plus,Hilton,Pack Size: 30 ml,https://dawaai.pk/medicine/artem-plus-30-mg-180-mg-dry-suspention-30-ml-pack-47843.html,245,272
106,Adrance-M,Atco,Pack Size: 2 x 7's,https://dawaai.pk/medicine/adrance-m-5-mg-500-mg-tablets-2-x-7s-pack-47885.html,124,138
107,Adrance-M,Atco,Pack Size: 2 x 7's,https://dawaai.pk/medicine/adrance-m-5-mg-850-mg-tablets-2-x-7s-pack-47886.html,113,125
108,Adrance-M,Atco,Pack Size: 2 x 7's,https://dawaai.pk/medicine/adrance-m-125-mg-500-mg-tablets-2-x-7s-pack-47887.html,203,225
109,Adrance-M,Atco,Pack Size: 2 x 7's,https://dawaai.pk/medicine/adrance-m-125-mg-850-mg-tablets-2-x-7s-pack-47888.html,144,160
110,Adrance-M,Atco,Pack Size: 2 x 7's,https://dawaai.pk/medicine/adrance-m-125-mg-1000-mg-tablets-2-x-7s-pack-47889.html,158,176
111,Amsart,Macter,Pack Size: 1 x 14's,https://dawaai.pk/medicine/amsart-10-mg-160-mg-tablets-1-x-14s-pack-47932.html,441,490
112,Amsart,Macter,Pack Size: 1 x 14's,https://dawaai.pk/medicine/amsart-5-mg-80-mg-tablets-1-x-14s-pack-47933.html,315,350
113,Amis,Rite pharma,Pack Size: 1 x 10's,https://dawaai.pk/medicine/amis-100-mg-tablets-1-x-10s-pack-47956.html,304,338
114,Amis,Rite pharma,Pack Size: 1 x 10's,https://dawaai.pk/medicine/amis-400-mg-tablets-1-x-10s-pack-47957.html,836,929
115,Adrance,Atco,Pack Size: 1 x 14's,https://dawaai.pk/medicine/adrance-25-mg-tablets-1-x-14s-pack-47984.html,540,600
116,Anplag,Pharm Evo,Pack Size: 2 x 7's,https://dawaai.pk/medicine/anplag-60-mg-tablet-2-x-7s-pack-48004.html,286,318
117,Admit,Shaigan,Pack Size: 1 x 14's,https://dawaai.pk/medicine/admit-50-mg-tablets-1-x-14s-pack-48011.html,405,450
118,Adrance,Atco,Pack Size: 1 x 14's,https://dawaai.pk/medicine/adrance-10-mg-tablet-1-x-14s-pack-48014.html,360,400
119,Aminoleban Liquid,Otsuka,Pack Size: 500 ml,https://dawaai.pk/medicine/aminoleban-500-ml-injection-pack-48016.html,829,921
120,Atizor,Hirani's Pharma,Pack Size: 25 ml,https://dawaai.pk/medicine/atizor-200-mg-5-ml-suspension-25-ml-bottle-48062.html,284,315
121,Amsart,Macter,Pack Size: 2 x 7's,https://dawaai.pk/medicine/amsart-10-mg-160-mg-tablets-2-x-7s-pack-48090.html,188,209
122,Alkeris,Sami,Pack Size: 3 x 10's,https://dawaai.pk/medicine/alkeris-100-mg-tablet-3-x-10s-pack-48114.html,96,107
123,Antial,Sami,Pack Size: 2 x 10's,https://dawaai.pk/medicine/antial-10-mg-tablets-2-x-10s-pack-48132.html,149,165
124,Av-Sartan,Barrett,Pack Size: 1 x 14's,https://dawaai.pk/medicine/av-sartan-5-mg-80-mg-tablets-1-x-14s-pack-48200.html,342,380
125,Actrac,Serving Health Pakistan,Pack Size: 3 x 10's,https://dawaai.pk/medicine/actrac-20-mg-soft-gelatin-capsules-3-x-10s-pack-48277.html,"1,831","2,035"
126,Advit-D,Martin Dow,Pack Size: 1 x 1 ml Ampoule Oral /,https://dawaai.pk/medicine/advit-d-200000-iu-injection-im-1-x-1-ml-ampoule-oral-im-pack-48322.html,162,180
127,Aromek,Galaxy,Pack Size: 10 Tablets Bottle,https://dawaai.pk/medicine/aromek-25-mg-tablets-1-x-10s-bottle-49053.html,"3,042","3,380"
128,Afdol,AGP,Pack Size: 120 ml,https://dawaai.pk/medicine/afdol-oral-solution-120-ml-bottle-49189.html,990,"1,100"
129,Afdol,AGP,Pack Size: 1 x 14's,https://dawaai.pk/medicine/afdol-10-mg-tablet-1-x-14s-pack-49190.html,504,560
130,Algocin,AGP,Pack Size: 1 x 10's,https://dawaai.pk/medicine/algocin-250-mg-tablet-1-x-10s-pack-49191.html,198,220
131,Algocin,AGP,Pack Size: 1 x 10's,https://dawaai.pk/medicine/algocin-500-mg-tablet-1-x-10s-pack-49192.html,315,350
132,All-D,AGP,Pack Size: 10 ml,https://dawaai.pk/medicine/all-d-drops-10-ml-pack-49239.html,270,300
133,Avec,Platinum,Pack Size: 1 x 20's,https://dawaai.pk/medicine/avec-10-mg-tablets-1-x-20s-pack-49513.html,130,144
134,Avec,Platinum,Pack Size: 120 ml,https://dawaai.pk/medicine/avec-5-mg-5-ml-syrup-120-ml-bottle-49625.html,125,139
135,Azocam-DS,Le Mendoza,Pack Size: 1 x 6's,https://dawaai.pk/medicine/azocam-ds-500-mg-tablets-1-x-6s-pack-49810.html,265,294
136,Amstan,Scilife,Pack Size: 1 x 14's,https://dawaai.pk/medicine/amstan-10-mg-160-mg-tablets-1-x-14s-pack-50032.html,541,601
137,Amstan,Scilife,Pack Size: 1 x 14's,https://dawaai.pk/medicine/amstan-5-mg-160-mg-tablets-1-x-14s-pack-50033.html,466,518
138,Address,Scotmann,Pack Size: 4 x 7's,https://dawaai.pk/medicine/address-10-mg-160-mg-tablets-4-x-7s-pack-50106.html,191,213
139,Abriva Plus,CCL,Pack Size: 4 x 7's,https://dawaai.pk/medicine/abriva-plus-400-mg-100-mg-tablets-4-x-7s-pack-50153.html,"2,833","3,148"
140,ARBI,Pharm Evo,Pack Size: 1 x 10's,https://dawaai.pk/medicine/arbi-150-mg-tablets-1-x-10s-pack-50183.html,256,284
141,ARBI,Pharm Evo,Pack Size: 1 x 10's,https://dawaai.pk/medicine/arbi-d-150-mg-125-mg-tablets-1-x-10s-pack-50184.html,324,360
142,ARBI,Pharm Evo,Pack Size: 1 x 10's,https://dawaai.pk/medicine/arbi-300-mg-tablets-1-x-10s-pack-50185.html,383,426
143,ARBI-D,Pharm Evo,Pack Size: 1 x 10's,https://dawaai.pk/medicine/arbi-d-300-mg-125-mg-tablets-1-x-10s-pack-50186.html,460,511
144,ARBI-D,Pharm Evo,Pack Size: 2 x 7's,https://dawaai.pk/medicine/arbi-d-300-mg-25-mg-tablets-2-x-7s-pack-50187.html,328,364
145,Acefyl 60 ml (brown),Nabi Qasim,Pack Size: 60 ml,https://dawaai.pk/medicine/acefyl-cough-syrup-60-ml-pack-50189.html,46,51
146,Admit,Shaigan,Pack Size: 2 x 7's,https://dawaai.pk/medicine/admit-50-mg-500mg-tablets-2-x-7s-pack-50197.html,203,225
147,Azitma,Sami,Pack Size: 15 ml,https://dawaai.pk/medicine/azitma-200-mg-5-ml-syrup-15-ml-pack-50247.html,198,220
148,Avega,hanzala pharmaceuticals,Pack Size: 1 x 10's,https://dawaai.pk/medicine/avega-sr-3-mg-tablets-1-x-10s-pack-50249.html,886,984
149,Avega,hanzala pharmaceuticals,Pack Size: 1 x 10's,https://dawaai.pk/medicine/avega-sr-6-mg-tablets-1-x-10s-pack-50250.html,"1,386","1,540"
150,Atorva,Pharmatec,Pack Size: 2 x 10's,https://dawaai.pk/medicine/atorva-10-mg-tablets-2-x-10s-pack-50311.html,268,298
151,Alphacoline,High-Q,Pack Size: 10 Amp,https://dawaai.pk/medicine/alphacoline-250-mg-2-ml-injection-10-amp-pack-50314.html,264,293
152,Aromasin 25 mg,Pfizer,Pack Size: 1 x 15's,https://dawaai.pk/medicine/aromasin-25-mg-tablet-1-x-15s-pack-50334.html,"7,009","7,788"
153,Ansaid 100mg Tablet,Pfizer,Pack Size: 3x10's,https://dawaai.pk/medicine/ansaid-100mg-tablet-3-x-10s-pack-50349.html,97,108
154,Actogin,Atco,Pack Size: 2x7's,https://dawaai.pk/medicine/normitab-pulse-tablet-2-x-7s-pack-1-50355.html,253,281
155,Arinac Forte,Abbott Laboratories,Pack Size: 10x10's,https://dawaai.pk/medicine/arinac-forte-113.html,96,106
156,Aripip 10mg,Pharmatec,Pack Size: 30,https://dawaai.pk/medicine/Aripiptab-Tablet10-199.html,144,160
157,Amoxil,GlaxoSmithKline,Pack Size: 1 x 20's,https://dawaai.pk/medicine/AmoxilCap-Capsule500-226.html,273,303
158,Adalat LA,Bayer,Pack Size: 20,https://dawaai.pk/medicine/AdalatLA-Tablet30-264.html,329,365
159,Arinac Tab,Abbott Laboratories,Pack Size: 10x10's,https://dawaai.pk/medicine/arinac-351.html,49,55
160,Aripip 15mg,Pharmatec,Pack Size: 3x10's,https://dawaai.pk/medicine/Aripiptab-Tablet10-415.html,192,213
161,Arimidex 1mg,ICI Pakistan Limited,Pack Size: 2x14's,https://dawaai.pk/medicine/arimidex-1mg-491.html,"5,356","5,951"
162,Avelox,Bayer,Pack Size: 1x5's,https://dawaai.pk/medicine/avelox-400mg-496.html,938,"1,043"
163,Atarax,GlaxoSmithKline,Pack Size: 2 x 25's,https://dawaai.pk/medicine/atarax-25mg-515.html,65,73
164,Ascard Plus,Atco,Pack Size: 10,https://dawaai.pk/medicine/ascard-plus-566.html,215,239
165,Amoxil 250 Mg,GlaxoSmithKline,Pack Size: 5x20's,https://dawaai.pk/medicine/AmoxilCap-Capsule500-686.html,113,126
166,AM-Descol,Nabi Qasim,Pack Size: 2 x 7's,https://dawaai.pk/medicine/am-descol-510mg-907.html,186,207
167,Alphagan,Wyeth,Pack Size: 5ml,https://dawaai.pk/medicine/alphagan--1041.html,724,804
168,Atorva,Pharmatec,Pack Size: 10s,https://dawaai.pk/medicine/atorva-10mg-1253.html,277,308
169,Adoxa 100mg,Pharma Health,Pack Size: 30,https://dawaai.pk/medicine/adoxa-100mg-1268.html,75,84
170,Axcin,Novartis,Pack Size: 1x10's,https://dawaai.pk/medicine/axcin-500mg-1355.html,315,350
171,Alfa-D 0.5mcg,Platinum,Pack Size: 1,https://dawaai.pk/medicine/alfa-d-05mcg-1387.html,270,300
172,Azomax,Novartis,Pack Size: 15ml,https://dawaai.pk/medicine/azomax-suspension-1417.html,338,375
173,Artholex Advanced,Celven Life Sciences,Pack Size: 3 x 10's,https://dawaai.pk/medicine/artholex-advanced-1449.html,324,360
174,Aerokast,Barrett,Pack Size: 14's,https://dawaai.pk/medicine/aerokast-10mg-1485.html,432,480
175,Advantan Fatty Ointment,Bayer,Pack Size: 10gm,https://dawaai.pk/medicine/advantan-fatty-ointment-1527.html,239,265
176,Advantan Ointment,Bayer,Pack Size: 10gm,https://dawaai.pk/medicine/advantan-ointment-1550.html,266,295
177,Augmentin Infant Drops 62.5mg/ml,GlaxoSmithKline,Pack Size: 20 ml,https://dawaai.pk/medicine/augmentin-infant-drops-625mgml-1615.html,164,183
178,Artem Plus,Hilton,Pack Size: 1x6's,https://dawaai.pk/medicine/artem-ds-plus-80480-1622.html,513,570
179,Anafortan Plus,AGP,Pack Size: 3x10's,https://dawaai.pk/medicine/anafortan-plus-1964.html,224,248
180,Ampress 5mg,Barrett,Pack Size: 20,https://dawaai.pk/medicine/ampress-5mg-2716.html,90,100
181,Acicon 20mg,Barrett,Pack Size: 10,https://dawaai.pk/medicine/acicon-20mg-5287.html,128,142
182,Acylex 200mg,Ferozsons,Pack Size: 5x5's,https://dawaai.pk/medicine/acylex-200mg-5291.html,71,79
183,Ampiclox Syrup 250mg/ 5ml,GlaxoSmithKline,Pack Size: 90ml,https://dawaai.pk/medicine/ampiclox-syrup-250mg-5ml-5296.html,205,228
184,Ampiclox 250mg,GlaxoSmithKline,Pack Size: 5x20's,https://dawaai.pk/medicine/ampiclox-250mg-5297.html,146,162
185,Ampiclox 500mg,GlaxoSmithKline,Pack Size: 5x20,https://dawaai.pk/medicine/ampiclox-500mg-5298.html,248,276
186,Apsin 40mg,Saffron,Pack Size: 1 x 10's,https://dawaai.pk/medicine/apsin-40mg-5299.html,204,226
187,Acylex 400mg,Ferozsons,Pack Size: 2x10's,https://dawaai.pk/medicine/acylex-400mg-5441.html,270,300
188,Abocal,Abbott Laboratories,Pack Size: 1x10's,https://dawaai.pk/medicine/abocal-calciumvitdcb6-tablet-5466.html,234,260
189,Acyclovir,Abbott Laboratories,Pack Size: 10 ml,https://dawaai.pk/medicine/acyclovir-500-mg-10ml-injection-5488.html,"1,304","1,449"
190,ACYLEX (Acyclovir) 200mg/5ml 60 ML SUSPENSION,Ferozsons,Pack Size: 60ml,https://dawaai.pk/medicine/acylex-acyclovir-200mg5ml-60-ml-suspension-5489.html,495,550
191,Advantan Cream 10g,Bayer,Pack Size: 10gm,https://dawaai.pk/medicine/advantan-cream-10g-5501.html,266,295
192,Aerokast 4mg Tab,Barrett,Pack Size: 1,https://dawaai.pk/medicine/aerokast-4mg-tab-5504.html,228,254
193,Anafortan Plus,AGP,Pack Size: 6 Amp x 4ml,https://dawaai.pk/medicine/anafortan-plus-inj-5553.html,111,123
194,Atorva,Pharmatec,Pack Size: 10's,https://dawaai.pk/medicine/atorva-20mg-tab-5580.html,494,549
195,Augmentin,GlaxoSmithKline,Pack Size: 90ml,https://dawaai.pk/medicine/augmentin-15625mg5ml-syrup-60ml-5583.html,310,344
196,Aurora,Ferozsons,Pack Size: 1x10's,https://dawaai.pk/medicine/aurora-5mg-tab-5587.html,183,203
197,Aerokast Powder Sachet 4mg,Barrett,Pack Size: 1,https://dawaai.pk/medicine/aerokast-sachet-4mg-14s-9189.html,25,28
198,AMOXIL FORTE 250mg 90 ML SYP,GlaxoSmithKline,Pack Size: 90ml,https://dawaai.pk/medicine/amoxil-forte-250mg-90-ml-syp-9204.html,158,175
199,Amplus 500mg,Bosch,Pack Size: 1 Vial,https://dawaai.pk/medicine/amplus-500mg-inj-9206.html,70,78
200,Aerokast 5mg Tab,Barrett,Pack Size: 14's,https://dawaai.pk/medicine/aerokast-5mg-tab-10099.html,272,302
201,Avsar,Pharm Evo,Pack Size: 2x7's,https://dawaai.pk/medicine/avsar-580-mg-tablets-10620.html,177,197
202,Antolol,Icon,Pack Size: 20s,https://dawaai.pk/medicine/antolol-10657.html,135,150
203,Atenorm,Ferozsons,Pack Size: 20s,https://dawaai.pk/medicine/atenorm-2-10825.html,137,153
204,Atenorm,Ferozsons,Pack Size: 14s,https://dawaai.pk/medicine/atenorm-3-10826.html,63,70
205,Atlin,Bosch,Pack Size: 20s,https://dawaai.pk/medicine/atlin-3-10829.html,54,60
206,Actim,Sami,Pack Size: 14s,https://dawaai.pk/medicine/actim-3-10846.html,216,240
207,Actim,Sami,Pack Size: 14s,https://dawaai.pk/medicine/actim-5-10848.html,130,145
208,Amaryl,Sanofi,Pack Size: 2x15's,https://dawaai.pk/medicine/amaryl-2-11040.html,277,308
209,Amaryl,Sanofi,Pack Size: 2x15's,https://dawaai.pk/medicine/amaryl-4-11042.html,416,462
210,Amaryl,Sanofi,Pack Size: 2x15's,https://dawaai.pk/medicine/amaryl-6-11044.html,554,615
211,Amaryl M S.R,Sanofi,Pack Size: 30s,https://dawaai.pk/medicine/amaryl-m-11272.html,189,210
212,Amaryl-M.S.R,Sanofi,Pack Size: 3 x 10's,https://dawaai.pk/medicine/amaryl-m-1-11273.html,340,378
213,Andrex,OBS,Pack Size: 3x10's,https://dawaai.pk/medicine/andrex-1-12183.html,288,320
